Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead_Time,Factory,Recommendation
1,US-2021-103800-CHO-MIL-31000,2024-03-01,2026-06-30,3,103800,United States,Houston,Texas,77095,Chocolate,2,CHO-MIL-31000,10,6.5,2,4.22,2.28,851.0,4,Keep Current Factory
2,US-2021-112326-CHO-TRI-54000,2024-04-01,2026-07-01,3,112326,United States,Naperville,Illinois,60540,Chocolate,2,CHO-TRI-54000,12,7.5,2,4.9,2.6,821.0,4,Keep Current Factory
3,US-2021-112326-CHO-NUT-13000,2024-04-01,2026-07-01,3,112326,United States,Naperville,Illinois,60540,Chocolate,2,CHO-NUT-13000,11,10.47,3,7.47,3.0,821.0,0,Keep Current Factory
4,US-2021-112326-CHO-SCR-58000,2024-04-01,2026-07-01,3,112326,United States,Naperville,Illinois,60540,Chocolate,2,CHO-SCR-58000,13,10.8,3,7.5,3.3,821.0,0,Keep Current Factory
5,US-2021-141817-CHO-TRI-54000,2024-05-01,2026-07-05,3,141817,United States,Philadelphia,Pennsylvania,19143,Chocolate,0,CHO-TRI-54000,12,11.25,3,7.35,3.9,795.0,4,Keep Current Factory
6,US-2021-167199-CHO-SCR-58000,2024-06-01,2026-07-03,3,167199,United States,Henderson,Kentucky,42420,Chocolate,1,CHO-SCR-58000,13,32.4,9,22.5,9.9,762.0,0,Keep Current Factory
7,US-2021-167199-CHO-TRI-54000,2024-06-01,2026-07-03,3,167199,United States,Henderson,Kentucky,42420,Chocolate,1,CHO-TRI-54000,12,7.5,2,4.9,2.6,762.0,4,Keep Current Factory
8,US-2021-106054-CHO-MIL-31000,2024-06-01,2026-06-30,0,106054,United States,Athens,Georgia,30605,Chocolate,1,CHO-MIL-31000,10,9.75,3,6.33,3.42,759.0,4,Keep Current Factory
9,US-2021-167199-CHO-NUT-13000,2024-06-01,2026-07-03,3,167199,United States,Henderson,Kentucky,42420,Chocolate,1,CHO-NUT-13000,11,6.98,2,4.98,2.0,762.0,0,Keep Current Factory
10,US-2021-167199-CHO-MIL-31000,2024-06-01,2026-07-03,3,167199,United States,Henderson,Kentucky,42420,Chocolate,1,CHO-MIL-31000,10,13.0,4,8.44,4.56,762.0,4,Keep Current Factory
11,US-2021-167199-CHO-MIL-31000,2024-06-01,2026-07-03,3,167199,United States,Henderson,Kentucky,42420,Chocolate,1,CHO-MIL-31000,10,3.25,1,2.11,1.14,762.0,4,Keep Current Factory
12,US-2021-130813-CHO-MIL-31000,2024-06-01,2026-07-01,2,130813,United States,Los Angeles,California,90049,Chocolate,3,CHO-MIL-31000,10,9.75,3,6.33,3.42,760.0,4,Keep Current Factory
13,US-2021-167199-CHO-SCR-58000,2024-06-01,2026-07-03,3,167199,United States,Henderson,Kentucky,42420,Chocolate,1,CHO-SCR-58000,13,14.4,4,10.0,4.4,762.0,0,Keep Current Factory
